scope,tableName,length,pattern,sample,next_B,next_P,B_rate,P_rate,best_side,best_rate
global,ALL,8,BBBPPBBB,134,77,57,57.4627,42.5373,B,57.4627
global,ALL,8,PPBBBPPP,131,56,75,42.7481,57.2519,P,57.2519
global,ALL,8,PPBBBBPP,128,50,78,39.0625,60.9375,P,60.9375
global,ALL,8,BBPPBBBB,127,78,49,61.4173,38.5827,B,61.4173
global,ALL,8,PBBBBPPP,126,50,76,39.6825,60.3175,P,60.3175
global,ALL,8,BBBBBPBB,125,73,52,58.4,41.6,B,58.4
global,ALL,8,BBPPPPPB,125,71,54,56.8,43.2,B,56.8
global,ALL,8,PPBBPPPP,125,56,69,44.8,55.2,P,55.2
global,ALL,8,PPPBBBPP,125,43,82,34.4,65.6,P,65.6
global,ALL,8,BPPPPPBB,124,80,44,64.5161,35.4839,B,64.5161
global,ALL,8,BPPPPPPP,124,60,64,48.3871,51.6129,P,51.6129
global,ALL,8,BBBBPBBB,122,79,43,64.7541,35.2459,B,64.7541
global,ALL,8,BBBPPPBB,122,56,66,45.9016,54.0984,P,54.0984
global,ALL,8,BBBPPPPB,122,68,54,55.7377,44.2623,B,55.7377
global,ALL,8,PPPPBBPP,122,45,77,36.8852,63.1148,P,63.1148
global,ALL,8,BBBPBBBB,121,58,63,47.9339,52.0661,P,52.0661
global,ALL,8,PPPPPPPB,121,73,48,60.3306,39.6694,B,60.3306
global,ALL,8,PBBBPPPP,120,49,71,40.8333,59.1667,P,59.1667
global,ALL,8,PPPPBPPP,118,59,59,50.0,50.0,B,50.0
global,ALL,8,BBPPPPBB,116,61,55,52.5862,47.4138,B,52.5862
global,ALL,8,BPBBBBBB,115,68,47,59.1304,40.8696,B,59.1304
global,ALL,8,BPPPPPPB,115,66,49,57.3913,42.6087,B,57.3913
global,ALL,8,PPBBBBBP,115,54,61,46.9565,53.0435,P,53.0435
global,ALL,8,BBBBPPBB,114,73,41,64.0351,35.9649,B,64.0351
global,ALL,8,BPPPBBPP,114,47,67,41.2281,58.7719,P,58.7719
global,ALL,8,BBPBBBBB,113,70,43,61.9469,38.0531,B,61.9469
global,ALL,8,PPBBPPPB,113,70,43,61.9469,38.0531,B,61.9469
global,ALL,8,BBBBBBPB,112,64,48,57.1429,42.8571,B,57.1429
global,ALL,8,BBPPPBBP,112,39,73,34.8214,65.1786,P,65.1786
global,ALL,8,PPPBBBBP,111,49,62,44.1441,55.8559,P,55.8559
global,ALL,8,PBBBBBBP,109,40,69,36.6972,63.3028,P,63.3028
global,ALL,8,PPPPPBPP,109,48,61,44.0367,55.9633,P,55.9633
global,ALL,8,PBPPBBBB,108,58,50,53.7037,46.2963,B,53.7037
global,ALL,8,BBBBBPPB,107,55,52,51.4019,48.5981,B,51.4019
global,ALL,8,BPPPPBBB,107,58,49,54.2056,45.7944,B,54.2056
global,ALL,8,PBBPPPPP,107,44,63,41.1215,58.8785,P,58.8785
global,ALL,8,BBPPPBBB,106,55,51,51.8868,48.1132,B,51.8868
global,ALL,8,BPPPBBBB,105,58,47,55.2381,44.7619,B,55.2381
global,ALL,8,PPPPPBBP,105,40,65,38.0952,61.9048,P,61.9048
global,ALL,8,BBBBPPPB,104,68,36,65.3846,34.6154,B,65.3846
global,ALL,8,PPBPPBBB,104,69,35,66.3462,33.6538,B,66.3462
global,ALL,8,PBBBBBPP,103,45,58,43.6893,56.3107,P,56.3107
global,ALL,8,PBBBPPBB,103,58,45,56.3107,43.6893,B,56.3107
global,ALL,8,BBPBBBBP,101,37,64,36.6337,63.3663,P,63.3663
global,ALL,8,PPPBPPPP,101,50,51,49.505,50.495,P,50.495
global,ALL,8,BBPBBBPP,100,51,49,51.0,49.0,B,51.0
global,ALL,8,BPPBBBBP,100,37,63,37.0,63.0,P,63.0
global,ALL,8,PPPBBBPB,97,60,37,61.8557,38.1443,B,61.8557
global,ALL,8,BPPBBPPP,96,48,48,50.0,50.0,B,50.0
global,ALL,8,PPPBPPPB,96,60,36,62.5,37.5,B,62.5
global,ALL,8,PPPPPPBP,96,38,58,39.5833,60.4167,P,60.4167
global,ALL,8,PBBPPPBB,95,49,46,51.5789,48.4211,B,51.5789
global,ALL,8,PPBPPPBB,95,62,33,65.2632,34.7368,B,65.2632
global,ALL,8,PPBPPPPP,95,48,47,50.5263,49.4737,B,50.5263
global,ALL,8,PPBPPPPB,94,58,36,61.7021,38.2979,B,61.7021
global,ALL,8,BBPPBPPP,92,44,48,47.8261,52.1739,P,52.1739
global,ALL,8,PBBBBBPB,92,59,33,64.1304,35.8696,B,64.1304
global,ALL,8,PPBBBPBB,92,48,44,52.1739,47.8261,B,52.1739
global,ALL,8,BBPPPPBP,91,39,52,42.8571,57.1429,P,57.1429
global,ALL,8,PBPPPBBB,91,49,42,53.8462,46.1538,B,53.8462
global,ALL,8,BPPPBBBP,90,37,53,41.1111,58.8889,P,58.8889
global,ALL,8,PPPBBPPB,90,55,35,61.1111,38.8889,B,61.1111
global,ALL,8,BBPPBBBP,89,38,51,42.6966,57.3034,P,57.3034
global,ALL,8,BPPPPBBP,89,33,56,37.0787,62.9213,P,62.9213
global,ALL,8,PPBBPPBB,89,51,38,57.3034,42.6966,B,57.3034
global,ALL,8,BPPBPPPP,88,45,43,51.1364,48.8636,B,51.1364
global,ALL,8,PBBBBPPB,88,58,30,65.9091,34.0909,B,65.9091
global,ALL,8,BBBPPBPP,87,35,52,40.2299,59.7701,P,59.7701
global,ALL,8,BPPBBBPP,87,38,49,43.6782,56.3218,P,56.3218
global,ALL,8,BPPPPBPP,87,33,54,37.931,62.069,P,62.069
global,ALL,8,PBBBPPPB,87,54,33,62.069,37.931,B,62.069
global,ALL,8,BBBBPBBP,86,39,47,45.3488,54.6512,P,54.6512
global,ALL,8,BBBPPBBP,86,38,48,44.186,55.814,P,55.814
global,ALL,8,BBPPPBPP,86,41,45,47.6744,52.3256,P,52.3256
global,ALL,8,BPBBBBPP,86,39,47,45.3488,54.6512,P,54.6512
global,ALL,8,PBBPPPPB,86,49,37,56.9767,43.0233,B,56.9767
global,ALL,8,PPPBPPBB,86,57,29,66.2791,33.7209,B,66.2791
global,ALL,8,PBBPBBBB,85,50,35,58.8235,41.1765,B,58.8235
global,ALL,8,PPBBBPPB,85,53,32,62.3529,37.6471,B,62.3529
global,ALL,8,BPBBPBBB,84,39,45,46.4286,53.5714,P,53.5714
global,ALL,8,PBBPPBBB,84,51,33,60.7143,39.2857,B,60.7143
global,ALL,8,PBPPPPPP,84,37,47,44.0476,55.9524,P,55.9524
global,ALL,8,PPBBBBPB,84,53,31,63.0952,36.9048,B,63.0952
global,ALL,8,BBBBPPBP,83,31,52,37.3494,62.6506,P,62.6506
global,ALL,8,PBBBPBBB,83,47,36,56.6265,43.3735,B,56.6265
global,ALL,8,BBBBPBPP,82,44,38,53.6585,46.3415,B,53.6585
global,ALL,8,BBPPBBPP,82,33,49,40.2439,59.7561,P,59.7561
global,ALL,8,PPPBBPBB,82,48,34,58.5366,41.4634,B,58.5366
global,ALL,8,BBBPBBPP,81,35,46,43.2099,56.7901,P,56.7901
global,ALL,8,PBPBBBBB,81,48,33,59.2593,40.7407,B,59.2593
global,ALL,8,PBPPPPBB,81,45,36,55.5556,44.4444,B,55.5556
global,ALL,8,PPPPBPPB,81,44,37,54.321,45.679,B,54.321
global,ALL,8,BBPBPPBB,80,43,37,53.75,46.25,B,53.75
